Label,Text
Extremism,শিক্ষার্থীদের আন্দোলনকে ভিন্নখাতে নিতে নৈরাজ্য করছে ছাত্রলীগ
Extremism,"মাননীয় প্রধান মন্ত্রী,,কোন আইন আপনার সুশাসনে পরিনত করেছেন? শুধু করেছেন নিজের ক্ষমতা ধরে রাখার জন্য,,,এই দেশ কারো বাপ দাদার ভিটে বাড়ি নয়,,,এটা গনতান্ত্রিক দেশ,,,কাজেই কারো ক্ষমতা চির জীবনের জন্য নয়,,পরিবর্তন হতেই হবে,,,তার একমাত্র সংবিধান হচ্ছে,,জনগ নের ভোটাধিকার নিশ্চিত করা,,,সুষ্ঠ নির্বাচনের পরিবেশ তৈরী করা।"
Extremism,নৈরাজ্য সৃষ্টি করে দূর্নীতিবাজ তারেক রহমানকে রক্ষা করা যাবে না 
Extremism,বাংলাদেশ নামটা পরিবতন করে আওয়ামি লীগ দেশ করা দরকার
Extremism,সময় টিভি আওয়ামী লীগের দালাল
Extremism,"যে দেশের প্রধানমন্ত্রী ভোট চোর সেই দেশে আবার ভোট লজ্জাজনক ব্যপার, আওয়ামী লীগ পাস"
Extremism,বিএনপি আন্দোলন করতে পারবে খালি ১ ঘন্টা পুলিশ বন্ধ কর
Extremism,"বি এন পির পুরাতন নেতাদের বিছি নাই, পুরাতনদের কে বাদ দিয়া নতুন করে সাজাতে হবে,"
Extremism,সবাইকে এই সরকারের বিরুদ্ধে প্রতিরোধ গড়ে তুলতে হবে।
Extremism,হাসিনা কে বাদ দেব আমরা জনগন যতক্ষন পদীপ কুমার দাশের ফাঁসি হাসিনা মনএী দবনা আমরা জনগন সবাই মিলে
Extremism,"জামাত,বিএনপি,নুরুর,দল,এবং,সপ,দল,মিলে,হরতাল,ডাক,দিন,অনিদিসট,কালের"
Extremism,"ইসলামের সচেতন সৈনিক,কুত্তার বাচ্চা, তোদের শিক্ষা নিয়া তোরা তোদের পছন্দের দেশ ফাকিস্তানে যা। সেখানে গিয়া মত প্রকাশ কর, কেউ বাধা দিবে না। বাংলাদেশে থাকলে চোদনের উপ্রেই থাকতে হবে।"
Extremism, ধর্ম মানে অশান্তি
Extremism,"হিন্দু প্রকারভেদ।  রাধাকৃষ্ণ  কৃষ্ণ_কৃষ্ণ বুঝলেন না তো??? কোন কোন হিন্দুরা দাবী করে রাধা শ্রীকৃষ্ণের গার্ল ফ্রেন্ড ছিল। যে কিনা সম্পর্কে মামী হইতো। আবার, কেও কেও দাবী করে রাধা নামে কেও ছিলই না। এটা মধ্যযুগীয় ধর্মের নামে অপপ্রচার। ভাই, আপনাদের আসল কিচ্চা কাহিনী আসলে কি? একটু জানিতে চাই।"
Extremism,"সালা তুই একটা হিন্দুর বাচ্চা , নামের পরে খান লাইগাচোচ বইলা জাতী কি বুজবেনা ভাবচোচ...?  যা তোদের মন্দিরের ঠাকুররাও কত মাগীগ করে তাও আবার মন্দিরের ভেতর দেখে আয়"
Extremism,হিন্দুদের দেশ বাংলাদেশ। জয় শ্রী রাম
Extremism,"হিন্দুদের মারবি বলছিস, হিন্দুরা তোদের কি বাল ছিঁড়ে নিয়েছে"
Extremism,বেশি ধর্ম বুঝে গেছিস না। জানোয়ার
Extremism,বাংলাদেশ থেকে হিন্দুদের বের করে দেয়া হবে খুবই তারাতাড়ি
Extremism,আমিও মোচলমান
Extremism,"কিরে নাপাক জাত,,গালি কারে দিস"
Extremism,তোরা ডান্ডির মায়েরে চুদি চুদমারানীরপোলা নাপাক ডান্ডির জাত
Extremism,"মাঘীরচুদা ধনপুজারীর জাত,,ভোদাপুজারীর জাত,,লেংটামুর্তি পুজারীর জাত"
Extremism,উগ্রবাদী ডান্ডি
